callsign,icao24,origin,destination,firstseen
CHH7924,781060,KLAX,KBOS,12/31/2019
AAL167,a08021,KLAX,KBOS,12/31/2019
JBU488,adcd6d,KLAX,KBOS,12/31/2019
JBU598,acca19,KSEA,KBOS,12/31/2019
AAL2320,a114f4,KPHX,KBOS,12/31/2019
JBU688,adc5ff,KLAX,KBOS,12/31/2019
AAL2306,a68e7c,KDFW,KBOS,12/31/2019
DAL2810,a99b83,KLAX,KBOS,12/31/2019
UAL545,a43ea3,KIAH,KBOS,12/31/2019
AAL1251,ac3558,KORD,KBOS,12/31/2019
JBU1932,a781d7,KIAH,KBOS,12/31/2019
AAL1628,a0a7a0,KLAX,KBOS,12/31/2019
UAL790,a9d5e4,KORD,KBOS,12/31/2019
AAL2763,a12625,KPHX,KBOS,1/1/2020
AAL1172,a3d4ed,KORD,KBOS,1/1/2020
AAL1456,ac81cc,KDFW,KBOS,1/1/2020
JBU714,a683a8,KDFW,KBOS,1/1/2020
AAL1890,ac72f0,KDFW,KBOS,1/1/2020
JBU112,a20d01,KORD,KBOS,1/1/2020
ASA438,a2b562,KLAX,KBOS,1/1/2020
JBU602,ab0416,KPHX,KBOS,1/1/2020
AAL2588,ad857e,KPHX,KBOS,1/1/2020
AAL2455,adcca6,KLAX,KBOS,1/1/2020
UAL2402,a16ee0,KLAX,KBOS,1/1/2020
ASA24,a29cbf,KSEA,KBOS,1/1/2020
JBU498,ad7e6f,KSEA,KBOS,1/1/2020
AAL2800,a06010,KLAX,KBOS,1/1/2020
JBU988,adc9b6,KLAX,KBOS,1/1/2020
JBU1836,a27600,KDTW,KBOS,1/1/2020
JBU412,a32ef8,KORD,KBOS,1/1/2020
RPA5890,a1a1b6,KORD,KBOS,1/1/2020
UAL1253,a9dc5e,KIAH,KBOS,1/1/2020
JBU288,ad27f3,KLAX,KBOS,1/1/2020
AAL2723,ac51b2,KORD,KBOS,1/1/2020
AAL1423,aca760,KLAX,KBOS,1/1/2020
JBU1012,a3f0bc,KORD,KBOS,1/1/2020
UAL2426,a8d4b0,KIAH,KBOS,1/1/2020
UAL824,a81006,KLAX,KBOS,1/1/2020
RPA6007,a24369,KORD,KBOS,1/1/2020
AAL1569,ab6c26,KPHX,KBOS,1/1/2020
AAL1853,adda24,KDFW,KBOS,1/1/2020
UAL2053,ac64cf,KIAH,KBOS,1/1/2020
UAL1420,a5f1ca,KORD,KBOS,1/1/2020
ASA12,a27f07,KSEA,KBOS,1/1/2020
AAL167,a06646,KLAX,KBOS,1/1/2020
JBU488,adabfe,KLAX,KBOS,1/1/2020
JBU598,addadb,KSEA,KBOS,1/1/2020
AAL2579,a17708,KDFW,KBOS,1/1/2020
UAL578,aba91b,KORD,KBOS,1/1/2020
AAL2320,a0d72b,KPHX,KBOS,1/1/2020
AAL2321,ad1fc8,KORD,KBOS,1/1/2020
DAL1843,ab83e8,KSEA,KBOS,1/1/2020
UAL913,a8d4ef,KORD,KBOS,1/1/2020
AAL2306,a17527,KDFW,KBOS,1/1/2020
JBU688,ad2095,KLAX,KBOS,1/1/2020
DAL2120,a98539,KLAX,KBOS,1/1/2020
UAL545,a837a7,KIAH,KBOS,1/1/2020
JBU1932,a83876,KIAH,KBOS,1/1/2020
AAL1251,ad83b2,KORD,KBOS,1/1/2020
AAL1628,acdbee,KLAX,KBOS,1/2/2020
AAL1172,acc31a,KORD,KBOS,1/2/2020
AAL2763,a7178c,KPHX,KBOS,1/2/2020
UAL1578,aa2ba4,KIAH,KBOS,1/2/2020
AAL1456,aca594,KDFW,KBOS,1/2/2020
JBU714,a74923,KDFW,KBOS,1/2/2020
AAL2682,acf849,KORD,KBOS,1/2/2020
AAL1890,aced24,KDFW,KBOS,1/2/2020
UAL670,a0acf8,KORD,KBOS,1/2/2020
ASA438,a29cbf,KLAX,KBOS,1/2/2020
JBU602,a8c796,KPHX,KBOS,1/2/2020
AAL2455,a0ebab,KLAX,KBOS,1/2/2020
AAL2588,a657bf,KPHX,KBOS,1/2/2020
ASA24,a29551,KSEA,KBOS,1/2/2020
DAL1493,a44d1c,KSEA,KBOS,1/2/2020
AAL2800,a08663,KLAX,KBOS,1/2/2020
UAL2402,a11f59,KLAX,KBOS,1/2/2020
JBU498,ad7ab8,KSEA,KBOS,1/2/2020
JBU988,ad27f3,KLAX,KBOS,1/2/2020
RPA5890,a2147c,KORD,KBOS,1/2/2020
UAL342,a4c0f7,KORD,KBOS,1/2/2020
AAL2384,a3a9af,KORD,KBOS,1/2/2020
AAL1423,a0ade2,KLAX,KBOS,1/2/2020
UAL1253,a44544,KIAH,KBOS,1/2/2020
JBU288,adc5ff,KLAX,KBOS,1/2/2020
AAL2747,ace96c,KDFW,KBOS,1/2/2020
AAL2723,ac81cc,KORD,KBOS,1/2/2020
JBU1012,a43fba,KORD,KBOS,1/2/2020
UAL2426,a44565,KIAH,KBOS,1/2/2020
DAL1163,ab34f3,KSEA,KBOS,1/2/2020
DAL1526,a82520,KLAX,KBOS,1/2/2020
UAL1420,ac121a,KORD,KBOS,1/2/2020
UAL824,a583f5,KLAX,KBOS,1/2/2020
ASA12,a28de3,KSEA,KBOS,1/2/2020
RPA6007,a1c57e,KORD,KBOS,1/2/2020
AAL1569,ab0a95,KPHX,KBOS,1/2/2020
AAL1853,a0cb68,KDFW,KBOS,1/2/2020
UAL1153,a4b21b,KORD,KBOS,1/2/2020
UAL2053,ab741e,KIAH,KBOS,1/2/2020
AAL167,a09533,KLAX,KBOS,1/2/2020
AAL2579,a15e71,KDFW,KBOS,1/2/2020
UAL578,a46d29,KORD,KBOS,1/2/2020
AAL2321,addf01,KORD,KBOS,1/2/2020
UAL790,a611db,KORD,KBOS,1/3/2020
AAL2763,adacfd,KPHX,KBOS,1/3/2020
AAL1172,acf492,KORD,KBOS,1/3/2020
AAL1456,ac97e4,KDFW,KBOS,1/3/2020
JBU1336,a38cd2,KDTW,KBOS,1/3/2020
AAL2320,acd64b,KPHX,KBOS,1/3/2020
UAL1578,a46d4f,KIAH,KBOS,1/3/2020
RPA6027,abfb99,KORD,KBOS,1/3/2020
DAL1237,a38992,KDTW,KBOS,1/3/2020
AAL2682,ad2c19,KORD,KBOS,1/3/2020
AAL1890,ad6758,KDFW,KBOS,1/3/2020
UAL670,a3a0eb,KORD,KBOS,1/3/2020
JBU112,a1741a,KORD,KBOS,1/3/2020
ASA438,a29cbf,KLAX,KBOS,1/3/2020
ASA24,a5939c,KSEA,KBOS,1/3/2020
JBU714,aa600a,KDFW,KBOS,1/3/2020
AAL2588,acda02,KPHX,KBOS,1/3/2020
AAL2455,acdbee,KLAX,KBOS,1/3/2020
JBU602,a883bd,KPHX,KBOS,1/3/2020
UAL2402,a05a01,KLAX,KBOS,1/3/2020
AAL2800,a0628f,KLAX,KBOS,1/3/2020
JBU988,adc5ff,KLAX,KBOS,1/3/2020
JBU498,ad60b7,KSEA,KBOS,1/3/2020
JBU1836,a2b622,KDTW,KBOS,1/3/2020
JBU412,a3f473,KORD,KBOS,1/3/2020
RPA5890,a24720,KORD,KBOS,1/3/2020
UAL342,a5f938,KORD,KBOS,1/3/2020
DAL2437,a3c233,KDTW,KBOS,1/3/2020
AAL2384,ad4747,KORD,KBOS,1/3/2020
AAL2747,a0d19e,KDFW,KBOS,1/3/2020
JBU288,adc238,KLAX,KBOS,1/3/2020
AAL1423,a09533,KLAX,KBOS,1/3/2020
UAL1253,aaa244,KIAH,KBOS,1/3/2020
AAL2723,ad5d5f,KORD,KBOS,1/3/2020
DAL1492,a017a5,KDTW,KBOS,1/3/2020
JBU2036,a32ef8,KDTW,KBOS,1/3/2020
JBU1012,a2033a,KORD,KBOS,1/3/2020
UAL2426,aa2bc2,KIAH,KBOS,1/3/2020
DAL1163,ab2b2c,KSEA,KBOS,1/3/2020
DAL1526,a98219,KLAX,KBOS,1/3/2020
ASA12,a30f85,KSEA,KBOS,1/3/2020
UAL824,a92362,KLAX,KBOS,1/3/2020
UAL1420,ab1db2,KORD,KBOS,1/3/2020
RPA6007,a23fb2,KORD,KBOS,1/3/2020
AAL1569,abc292,KPHX,KBOS,1/3/2020
AAL1853,a0ddfb,KDFW,KBOS,1/3/2020
UAL1153,a4fd62,KORD,KBOS,1/3/2020
UAL2053,ac59aa,KIAH,KBOS,1/3/2020
AAL167,a0f91d,KLAX,KBOS,1/3/2020
DAL988,a3f8a1,KDTW,KBOS,1/3/2020
JBU336,a1741a,KDTW,KBOS,1/3/2020
AAL2579,a185e4,KDFW,KBOS,1/3/2020
UAL578,a41e29,KORD,KBOS,1/3/2020
JBU598,adb723,KSEA,KBOS,1/3/2020
JBU488,ad0074,KLAX,KBOS,1/3/2020
JBU688,ad1cde,KLAX,KBOS,1/3/2020
AAL2321,a33327,KORD,KBOS,1/3/2020
AAL2320,aca760,KPHX,KBOS,1/3/2020
DAL1145,a38992,KDTW,KBOS,1/3/2020
UAL913,a81001,KORD,KBOS,1/3/2020
AAL2306,a15516,KDFW,KBOS,1/3/2020
DAL1082,a3e8dc,KDTW,KBOS,1/3/2020
UAL545,a885f4,KIAH,KBOS,1/3/2020
AAL1251,ac8cf1,KORD,KBOS,1/3/2020
JBU1932,a87c4f,KIAH,KBOS,1/3/2020
AAL1628,a04b24,KLAX,KBOS,1/3/2020
UAL790,a58a29,KORD,KBOS,1/4/2020
AAL2763,a6c4d7,KPHX,KBOS,1/4/2020
JBU1336,a37a3f,KDTW,KBOS,1/4/2020
AAL1172,ad8895,KORD,KBOS,1/4/2020
RPA6027,ac06be,KORD,KBOS,1/4/2020
AAL1456,acc1ee,KDFW,KBOS,1/4/2020
DAL1237,a3c5fd,KDTW,KBOS,1/4/2020
JBU714,a7e20a,KDFW,KBOS,1/4/2020
UAL1578,a8d5a0,KIAH,KBOS,1/4/2020
AAL2682,a3244a,KORD,KBOS,1/4/2020
AAL1890,ad73a9,KDFW,KBOS,1/4/2020
UAL670,a8fc09,KORD,KBOS,1/4/2020
JBU112,a27600,KORD,KBOS,1/4/2020
ASA438,a6b7ec,KLAX,KBOS,1/4/2020
JBU602,a9607d,KPHX,KBOS,1/4/2020
ASA24,a2ebbd,KSEA,KBOS,1/4/2020
AAL2455,a07522,KLAX,KBOS,1/4/2020
AAL2588,ada6ed,KPHX,KBOS,1/4/2020
DAL2932,a98219,KLAX,KBOS,1/4/2020
UAL2402,a16ec2,KLAX,KBOS,1/4/2020
AAL2800,a05c59,KLAX,KBOS,1/4/2020
JBU498,ad7ab8,KSEA,KBOS,1/4/2020
JBU988,adc238,KLAX,KBOS,1/4/2020
JBU1836,a37a3f,KDTW,KBOS,1/4/2020
JBU412,a182f6,KORD,KBOS,1/4/2020
UAL342,a562aa,KORD,KBOS,1/4/2020
DAL2437,a3c233,KDTW,KBOS,1/4/2020
RPA5890,a2147c,KORD,KBOS,1/4/2020
AAL2384,a336e3,KORD,KBOS,1/4/2020
AAL2747,ac7a52,KDFW,KBOS,1/4/2020
JBU288,ad6bdc,KLAX,KBOS,1/4/2020
UAL1253,a0fbb7,KIAH,KBOS,1/4/2020
AAL1423,a0fcd4,KLAX,KBOS,1/4/2020
JBU1012,a168f5,KORD,KBOS,1/4/2020
DAL1526,a82520,KLAX,KBOS,1/4/2020
DAL1163,ab34f3,KSEA,KBOS,1/4/2020
ASA12,a2d92a,KSEA,KBOS,1/4/2020
RPA6007,a23fb2,KORD,KBOS,1/4/2020
UAL824,a8d4b0,KLAX,KBOS,1/4/2020
AAL1569,abe2a3,KPHX,KBOS,1/4/2020
DAL2527,a3cc82,KDTW,KBOS,1/4/2020
AAL1853,a0f1bb,KDFW,KBOS,1/4/2020
JAL8,86e474,KDFW,KBOS,1/4/2020
UAL2053,ab128d,KIAH,KBOS,1/4/2020
UAL2456,a4b21b,KORD,KBOS,1/4/2020
AAL167,adcca6,KLAX,KBOS,1/4/2020
JBU336,a3f473,KDTW,KBOS,1/4/2020
UAL578,aa56d4,KORD,KBOS,1/4/2020
DAL1145,a45f64,KDTW,KBOS,1/4/2020
JBU688,addadb,KLAX,KBOS,1/4/2020
AAL2306,a0e250,KDFW,KBOS,1/4/2020
JBU1932,a29611,KIAH,KBOS,1/4/2020
JBU1336,a39089,KDTW,KBOS,1/5/2020
AAL1628,a0d19e,KLAX,KBOS,1/5/2020
AAL2763,a6cffc,KPHX,KBOS,1/5/2020
UAL790,a91536,KORD,KBOS,1/5/2020
UAL1578,ac59aa,KIAH,KBOS,1/5/2020
AAL1172,aa6113,KORD,KBOS,1/5/2020
AAL1456,ac7f41,KDFW,KBOS,1/5/2020
DAL1237,a42efc,KDTW,KBOS,1/5/2020
RPA6027,a19691,KORD,KBOS,1/5/2020
AAL2682,ad4afe,KORD,KBOS,1/5/2020
AAL1890,ad8b20,KDFW,KBOS,1/5/2020
UAL670,a5bccd,KORD,KBOS,1/5/2020
JBU112,a33666,KORD,KBOS,1/5/2020
ASA438,a2e806,KLAX,KBOS,1/5/2020
JBU602,a64d4d,KPHX,KBOS,1/5/2020
AAL2455,a0e086,KLAX,KBOS,1/5/2020
ASA24,a2f584,KSEA,KBOS,1/5/2020
AAL2588,a0dae2,KPHX,KBOS,1/5/2020
UAL2402,a39bfa,KLAX,KBOS,1/5/2020
AAL2800,a0541b,KLAX,KBOS,1/5/2020
JBU988,ad6bdc,KLAX,KBOS,1/5/2020
JBU498,ad1cde,KSEA,KBOS,1/5/2020
JBU1836,a3418b,KDTW,KBOS,1/5/2020
JBU412,a186ad,KORD,KBOS,1/5/2020
UAL342,a612a6,KORD,KBOS,1/5/2020
RPA5890,a1be10,KORD,KBOS,1/5/2020
DAL2437,a3b86c,KDTW,KBOS,1/5/2020
AAL2747,acdf9a,KDFW,KBOS,1/5/2020
UAL1253,a41e94,KIAH,KBOS,1/5/2020
AAL1423,a0c075,KLAX,KBOS,1/5/2020
JBU288,ad7e6f,KLAX,KBOS,1/5/2020
AAL2723,aca594,KORD,KBOS,1/5/2020
JBU1012,a42ace,KORD,KBOS,1/5/2020
UAL2426,aa7e56,KIAH,KBOS,1/5/2020
DAL1163,ab2b2c,KSEA,KBOS,1/5/2020
UAL824,a4943e,KLAX,KBOS,1/5/2020
JBU2036,a182f6,KDTW,KBOS,1/5/2020
DAL1526,a96171,KLAX,KBOS,1/5/2020
DAL1492,a04a49,KDTW,KBOS,1/5/2020
ASA12,a2ebbd,KSEA,KBOS,1/5/2020
UAL1420,ab0158,KORD,KBOS,1/5/2020
RPA6007,a1ba59,KORD,KBOS,1/5/2020
AAL1569,ab975c,KPHX,KBOS,1/5/2020
UAL1153,a620b7,KORD,KBOS,1/5/2020
AAL1853,a0ade2,KDFW,KBOS,1/5/2020
UAL2053,ab6542,KIAH,KBOS,1/5/2020
AAL2579,a15e71,KDFW,KBOS,1/5/2020
JBU336,a3619c,KDTW,KBOS,1/5/2020
AAL167,a04edb,KLAX,KBOS,1/5/2020
JBU598,ad2445,KSEA,KBOS,1/5/2020
JBU1214,a1ff83,KDFW,KBOS,1/5/2020
UAL578,a4d99a,KORD,KBOS,1/5/2020
JBU488,ad1560,KLAX,KBOS,1/5/2020
AAL2320,a0d72b,KPHX,KBOS,1/5/2020
AAL2321,a3b88e,KORD,KBOS,1/5/2020
JBU688,ad60b7,KLAX,KBOS,1/5/2020
DAL1145,a38992,KDTW,KBOS,1/5/2020
AAL2306,a71efa,KDFW,KBOS,1/5/2020
RPA5900,abea64,KDTW,KBOS,1/5/2020
UAL545,a9249c,KIAH,KBOS,1/5/2020
JBU1932,a4034f,KIAH,KBOS,1/5/2020
AAL1251,acdbef,KORD,KBOS,1/5/2020
UAL913,a4fd62,KORD,KBOS,1/5/2020
JBU1336,a38cd2,KDTW,KBOS,1/5/2020
AAL1628,ace5bc,KLAX,KBOS,1/6/2020
UAL790,a50c3e,KORD,KBOS,1/6/2020
AAL2763,a187ba,KPHX,KBOS,1/6/2020
AAL1172,ac0a22,KORD,KBOS,1/6/2020
AAL1456,acfd2c,KDFW,KBOS,1/6/2020
UAL1578,a4455e,KIAH,KBOS,1/6/2020
RPA6027,a1ba59,KORD,KBOS,1/6/2020
RPA6029,a24720,KDTW,KBOS,1/6/2020
AAL2682,a34209,KORD,KBOS,1/6/2020
JBU112,a42ace,KORD,KBOS,1/6/2020
UAL670,aa5694,KORD,KBOS,1/6/2020
AAL1890,ad928e,KDFW,KBOS,1/6/2020
ASA438,a5a888,KLAX,KBOS,1/6/2020
JBU602,aaf53a,KPHX,KBOS,1/6/2020
AAL2588,a17527,KPHX,KBOS,1/6/2020
ASA24,a2ce05,KSEA,KBOS,1/6/2020
UAL2402,a8d465,KLAX,KBOS,1/6/2020
DAL2932,a96171,KLAX,KBOS,1/6/2020
AAL2800,a06a09,KLAX,KBOS,1/6/2020
JBU988,adafb5,KLAX,KBOS,1/6/2020
JBU498,addadb,KSEA,KBOS,1/6/2020
JBU1836,a20d01,KDTW,KBOS,1/6/2020
JBU412,a168f5,KORD,KBOS,1/6/2020
RPA5921,a23bfb,KDTW,KBOS,1/6/2020
UAL342,a57796,KORD,KBOS,1/6/2020
RPA6144,ac1951,KDTW,KBOS,1/6/2020
AAL2384,a3b88e,KORD,KBOS,1/6/2020
AAL2747,a1057a,KDFW,KBOS,1/6/2020
UAL1572,a43e7f,KORD,KBOS,1/6/2020
UAL1253,a43ea3,KIAH,KBOS,1/6/2020
JBU288,ad7ab8,KLAX,KBOS,1/6/2020
AAL1423,a0d90c,KLAX,KBOS,1/6/2020
RPA5904,a1c1c7,KORD,KBOS,1/6/2020
JBU2036,aaf8f1,KDTW,KBOS,1/6/2020
DAL1492,a362a5,KDTW,KBOS,1/6/2020
AAL2723,acf849,KORD,KBOS,1/6/2020
JBU1012,a33a1d,KORD,KBOS,1/6/2020
UAL1420,ac59aa,KORD,KBOS,1/6/2020
DAL1526,a98219,KLAX,KBOS,1/6/2020
ASA12,a6a6b7,KSEA,KBOS,1/6/2020
UAL824,a923ef,KLAX,KBOS,1/6/2020
AAL1569,abd010,KPHX,KBOS,1/6/2020
JBU312,a15b77,KORD,KBOS,1/6/2020
UAL301,a05a01,KORD,KBOS,1/6/2020
JBU1214,a8aef3,KDFW,KBOS,1/6/2020
RPA6139,a1ccec,KORD,KBOS,1/6/2020
UAL2053,a5ca4b,KIAH,KBOS,1/6/2020
AAL1853,ac7103,KDFW,KBOS,1/6/2020
AAL167,a08021,KLAX,KBOS,1/6/2020
JBU336,a19df2,KDTW,KBOS,1/6/2020
DAL1163,a4a484,KSEA,KBOS,1/6/2020
DAL988,a3f133,KDTW,KBOS,1/6/2020
AAL2597,a185e4,KDFW,KBOS,1/6/2020
UAL578,a6246e,KORD,KBOS,1/6/2020
JBU488,adabfe,KLAX,KBOS,1/6/2020
JBU1712,a30520,KORD,KBOS,1/6/2020
RPA6142,ac0307,KORD,KBOS,1/6/2020
DAL1145,a3ed7c,KDTW,KBOS,1/6/2020
JBU598,ad1cde,KSEA,KBOS,1/6/2020
JBU688,add376,KLAX,KBOS,1/6/2020
AAL2321,ad4fe1,KORD,KBOS,1/6/2020
AAL2320,ac9ff2,KPHX,KBOS,1/6/2020
AAL2306,a722b1,KDFW,KBOS,1/6/2020
DAL1082,a452c4,KDTW,KBOS,1/6/2020
AAL1251,ad8ed7,KORD,KBOS,1/6/2020
JBU1932,a8c796,KIAH,KBOS,1/6/2020
AAL1628,a0cb68,KLAX,KBOS,1/6/2020
JBU2112,a3e94e,KORD,KBOS,1/7/2020
AAL2763,ada336,KPHX,KBOS,1/7/2020
UAL790,a1239d,KORD,KBOS,1/7/2020
JBU1336,a2b622,KDTW,KBOS,1/7/2020
AAL1172,acb59c,KORD,KBOS,1/7/2020
AAL1456,adac5d,KDFW,KBOS,1/7/2020
UAL1578,a12378,KIAH,KBOS,1/7/2020
DAL1237,a35d73,KDTW,KBOS,1/7/2020
RPA5912,a1ccec,KORD,KBOS,1/7/2020
JBU714,aa600a,KDFW,KBOS,1/7/2020
AAL2682,ada64d,KORD,KBOS,1/7/2020
AAL1890,ab2496,KDFW,KBOS,1/7/2020
UAL670,aa2ba2,KORD,KBOS,1/7/2020
JBU112,a2dda1,KORD,KBOS,1/7/2020
ASA24,a2adf4,KSEA,KBOS,1/7/2020
AAL2455,a0d90c,KLAX,KBOS,1/7/2020
AAL2588,a0dae2,KPHX,KBOS,1/7/2020
UAL2402,a16ec2,KLAX,KBOS,1/7/2020
DAL2932,a98219,KLAX,KBOS,1/7/2020
JBU602,a80d40,KPHX,KBOS,1/7/2020
JBU988,ad60b7,KLAX,KBOS,1/7/2020
JBU498,ada5ee,KSEA,KBOS,1/7/2020
JBU1836,a17063,KDTW,KBOS,1/7/2020
JBU412,a1a917,KORD,KBOS,1/7/2020
RPA5890,a21fa1,KORD,KBOS,1/7/2020
UAL342,a56a18,KORD,KBOS,1/7/2020
DAL2437,ab8031,KDTW,KBOS,1/7/2020
UAL1572,a5f581,KORD,KBOS,1/7/2020
JBU288,ad1927,KLAX,KBOS,1/7/2020
UAL1253,aaa58b,KIAH,KBOS,1/7/2020
AAL2723,acae2e,KORD,KBOS,1/7/2020
RPA5904,a2147c,KORD,KBOS,1/7/2020
UAL1420,ab0158,KORD,KBOS,1/7/2020
JBU1012,a168f5,KORD,KBOS,1/7/2020
DAL1492,a37eff,KDTW,KBOS,1/7/2020
JBU2036,a3dbd0,KDTW,KBOS,1/7/2020
DAL1526,a95dba,KLAX,KBOS,1/7/2020
ASA12,a6b07e,KSEA,KBOS,1/7/2020
AAL1569,ab8c37,KPHX,KBOS,1/7/2020
UAL824,a8fc06,KLAX,KBOS,1/7/2020
JBU312,a22702,KORD,KBOS,1/7/2020
JBU1214,a64d4d,KDFW,KBOS,1/7/2020
RPA6139,a230d6,KORD,KBOS,1/7/2020
UAL2053,a57796,KIAH,KBOS,1/7/2020
AAL888,aca309,KORD,KBOS,1/7/2020
UAL301,a4e108,KORD,KBOS,1/7/2020
AAL167,a06010,KLAX,KBOS,1/7/2020
ASA1360,a28a2c,KLAX,KBOS,1/7/2020
DAL988,a39100,KDTW,KBOS,1/7/2020
AAL1148,a185e4,KDFW,KBOS,1/7/2020
JBU336,a186ad,KDTW,KBOS,1/7/2020
UAL578,a46d95,KORD,KBOS,1/7/2020
JBU1712,a13b66,KORD,KBOS,1/7/2020
RPA6142,a1d0a3,KORD,KBOS,1/7/2020
DAL1145,a38992,KDTW,KBOS,1/7/2020
AAL2321,aa15cc,KORD,KBOS,1/7/2020
JBU2112,a19df2,KORD,KBOS,1/8/2020
JBU1336,a37df6,KDTW,KBOS,1/8/2020
UAL790,a39fb7,KORD,KBOS,1/8/2020
UAL1578,a43e83,KIAH,KBOS,1/8/2020
AAL1172,ad6b0f,KORD,KBOS,1/8/2020
AAL1456,ace5b6,KDFW,KBOS,1/8/2020
JBU714,a7bbe9,KDFW,KBOS,1/8/2020
DAL1237,a3b028,KDTW,KBOS,1/8/2020
RPA5912,a230d6,KORD,KBOS,1/8/2020
UAL670,a46d26,KORD,KBOS,1/8/2020
JBU602,a8c796,KPHX,KBOS,1/8/2020
DAL2932,a95dba,KLAX,KBOS,1/8/2020
AAL2455,a0b550,KLAX,KBOS,1/8/2020
JBU498,acca19,KSEA,KBOS,1/8/2020
JBU988,acf906,KLAX,KBOS,1/8/2020
JBU1836,a24aca,KDTW,KBOS,1/8/2020
UAL342,a135cb,KORD,KBOS,1/8/2020
RPA5890,a19a48,KORD,KBOS,1/8/2020
DAL2437,ab879f,KDTW,KBOS,1/8/2020
UAL1253,ac15d1,KIAH,KBOS,1/8/2020
JBU288,adde95,KLAX,KBOS,1/8/2020
UAL1572,a3a0cf,KORD,KBOS,1/8/2020
RPA5904,a1be10,KORD,KBOS,1/8/2020
JBU2036,a33666,KDTW,KBOS,1/8/2020
UAL1420,ac0e63,KORD,KBOS,1/8/2020
JBU1012,a3b808,KORD,KBOS,1/8/2020
DAL1492,a3b4c8,KDTW,KBOS,1/8/2020
ASA12,a5c4e2,KSEA,KBOS,1/8/2020
DAL1526,a96171,KLAX,KBOS,1/8/2020
UAL824,aa2ba1,KLAX,KBOS,1/8/2020
JBU312,a22702,KORD,KBOS,1/8/2020
AAL1569,abd3c7,KPHX,KBOS,1/8/2020
AAL1853,a101c3,KDFW,KBOS,1/8/2020
JBU1214,a9607d,KDFW,KBOS,1/8/2020
RPA6139,a1c935,KORD,KBOS,1/8/2020
UAL2053,a58672,KIAH,KBOS,1/8/2020
AAL888,acc6d1,KORD,KBOS,1/8/2020
AAL167,a0541b,KLAX,KBOS,1/8/2020
UAL301,a5b55f,KORD,KBOS,1/8/2020
ASA1360,a7486a,KLAX,KBOS,1/8/2020
DAL988,a438c3,KDTW,KBOS,1/8/2020
DAL1163,a45f59,KSEA,KBOS,1/8/2020
JBU336,a21f94,KDTW,KBOS,1/8/2020
JBU598,ada5ee,KSEA,KBOS,1/8/2020
JBU488,adafb5,KLAX,KBOS,1/8/2020
UAL578,a46d4a,KORD,KBOS,1/8/2020
JBU1712,a1741a,KORD,KBOS,1/8/2020
AAL2320,a742c2,KPHX,KBOS,1/8/2020
AAL1148,a16fa6,KDFW,KBOS,1/8/2020
RPA6142,abf1d2,KORD,KBOS,1/8/2020
DAL1145,a4077d,KDTW,KBOS,1/8/2020
AAL2579,a12625,KDFW,KBOS,1/8/2020
AAL2321,ad79eb,KORD,KBOS,1/8/2020
JBU688,ad7ab8,KLAX,KBOS,1/8/2020
JBU1932,a6ab27,KIAH,KBOS,1/8/2020
DAL1082,a3f4ea,KDTW,KBOS,1/8/2020
AAL1251,ad5fea,KORD,KBOS,1/8/2020
AAL382,a10931,KLAX,KBOS,1/8/2020
JBU2112,a2d27c,KORD,KBOS,1/8/2020
AAL2763,a6e4e8,KPHX,KBOS,1/9/2020
JBU1336,a2dda1,KDTW,KBOS,1/9/2020
UAL1578,a416be,KIAH,KBOS,1/9/2020
AAL1172,ad63a1,KORD,KBOS,1/9/2020
AAL1456,ac18fe,KDFW,KBOS,1/9/2020
ASA24,a56866,KSEA,KBOS,1/9/2020
UAL790,aaeec5,KORD,KBOS,1/9/2020
DAL1237,a3bda6,KDTW,KBOS,1/9/2020
RPA5912,a22ac6,KORD,KBOS,1/9/2020
JBU714,a898a9,KDFW,KBOS,1/9/2020
UAL670,a81000,KORD,KBOS,1/9/2020
JBU112,a2b622,KORD,KBOS,1/9/2020
JBU602,a770a2,KPHX,KBOS,1/9/2020
AAL2588,adf194,KPHX,KBOS,1/9/2020
AAL2455,ac81d2,KLAX,KBOS,1/9/2020
DAL2932,a96171,KLAX,KBOS,1/9/2020
DAL2224,a47597,KSEA,KBOS,1/9/2020
CHH470,7816b3,KLAX,KBOS,1/9/2020
JBU988,ad27f3,KLAX,KBOS,1/9/2020
JBU498,ad1cde,KSEA,KBOS,1/9/2020
JBU412,a21f94,KORD,KBOS,1/9/2020
UAL342,a5dcde,KORD,KBOS,1/9/2020
RPA5890,a21bea,KORD,KBOS,1/9/2020
DAL2437,abc573,KDTW,KBOS,1/9/2020
CMP311,0c200b,SEAS,KBOS,1/9/2020
JBU2036,a2d27c,KDTW,KBOS,1/9/2020
AAL2747,acc5a5,KDFW,KBOS,1/9/2020
UAL1572,a3eeb0,KORD,KBOS,1/9/2020
UAL1253,a28904,KIAH,KBOS,1/9/2020
JBU288,adb35c,KLAX,KBOS,1/9/2020
AAL2723,a19343,KORD,KBOS,1/9/2020
RPA5904,a22ac6,KORD,KBOS,1/9/2020
UAL1420,ab68f9,KORD,KBOS,1/9/2020
DAL1492,a3f4ea,KDTW,KBOS,1/9/2020
AAL1423,adc8e7,KLAX,KBOS,1/9/2020
ASA12,a29908,KSEA,KBOS,1/9/2020
DAL1526,a98219,KLAX,KBOS,1/9/2020
UAL824,a94b0a,KLAX,KBOS,1/9/2020
AAL1853,ac72e4,KDFW,KBOS,1/9/2020
