DATE,CUSR0000SETG01
6/1/2013,296.647
7/1/2013,311.074
8/1/2013,317.28
9/1/2013,316.426
10/1/2013,315.445
11/1/2013,315.808
12/1/2013,314.891
1/1/2014,304.438
2/1/2014,302.328
3/1/2014,305.804
4/1/2014,307.536
5/1/2014,314.119
6/1/2014,314.699
7/1/2014,311.679
8/1/2014,309.923
9/1/2014,306.111
10/1/2014,307.357
11/1/2014,305.983
12/1/2014,301.037
1/1/2015,295.273
2/1/2015,293.524
3/1/2015,290.945
4/1/2015,285.424
5/1/2015,293.265
6/1/2015,298.839
7/1/2015,294.099
8/1/2015,291.307
9/1/2015,287.452
10/1/2015,291.034
11/1/2015,293.715
12/1/2015,291.963
1/1/2016,290.236
2/1/2016,287.221
3/1/2016,286.015
4/1/2016,286.207
5/1/2016,285.64
6/1/2016,285.966
7/1/2016,281.096
8/1/2016,280.593
9/1/2016,278.835
10/1/2016,274.718
11/1/2016,275.024
12/1/2016,278.539
1/1/2017,281.057
2/1/2017,282.984
3/1/2017,284.979
4/1/2017,284.415
5/1/2017,279.037
6/1/2017,275.574
7/1/2017,274.427
8/1/2017,270.611
9/1/2017,268.727
10/1/2017,269.162
11/1/2017,268.106
12/1/2017,268.022
1/1/2018,267.384
2/1/2018,267.214
3/1/2018,268.695
4/1/2018,265.63
5/1/2018,261.895
6/1/2018,260.732
7/1/2018,263.679
8/1/2018,265.602
9/1/2018,265.928
10/1/2018,265.769
11/1/2018,263.39
12/1/2018,261.591
1/1/2019,260.972
2/1/2019,261.139
3/1/2019,261.341
4/1/2019,261.794
5/1/2019,264.654
6/1/2019,265.461
7/1/2019,267.01
8/1/2019,268.704
9/1/2019,269.524
10/1/2019,268.515
11/1/2019,267.853
12/1/2019,266.306
1/1/2020,268.081
2/1/2020,267.28
3/1/2020,233.583
4/1/2020,198.065
5/1/2020,188.394
6/1/2020,193.295
