callsign,,icao24,origin,destination,firstseen
AAL787,,a7302f,KLAX,KORD,1/31/2020
UAL375,,a43e83,KIAH,KORD,1/31/2020
SWA140,,ad2ce1,KLAX,KLAS,1/31/2020
AAL1576,,ad1d3d,KDFW,KFLL,1/31/2020
SWA1762,,a302a0,KLAX,KSFO,1/31/2020
CPZ6032,,a1c5e0,KLAX,KPDX,1/31/2020
AAL2798,,ade66f,KORD,KSFO,1/31/2020
ENY4042,,a920f4,KDTW,KORD,1/31/2020
ASA633,,a59d63,KPHX,KSEA,1/31/2020
DAL2793,,a47597,KSEA,KLAS,1/31/2020
AAL758,,a16a02,KPHX,KDFW,1/31/2020
JBU1336,,a3f0bc,KDTW,KBOS,1/31/2020
AAL147,,ab4732,KLAX,KDFW,1/31/2020
NKS207,,a87196,KDFW,KLAS,1/31/2020
AAL1251,,aca6c0,KORD,KBOS,1/31/2020
CPZ5720,,a81077,KLAX,KSJC,1/31/2020
UAL713,,a5c694,KDFW,KORD,1/31/2020
FFT2162,,ad116c,KLAX,KLAS,1/31/2020
DAL2527,,a3696e,KSEA,KDEN,1/31/2020
AAL2918,,a6cc45,KLAX,KPHL,1/31/2020
ASA1923,,abbbc7,KLAX,KSFO,1/31/2020
AAL2763,,a18b71,KPHX,KBOS,1/31/2020
AAL2240,,ac2dea,KSEA,KDFW,1/31/2020
UAL460,,a4b989,KLAX,KSFO,1/31/2020
AAL891,,a12625,KPHX,KORD,1/31/2020
AAL1388,,a65b76,KPHX,KJFK,1/31/2020
NKS845,,a8cf70,KDTW,KFLL,2/1/2020
JSX411,,a27fdb,KPHX,KLAS,2/1/2020
AAL2334,,a17acb,KDFW,KPHL,2/1/2020
CPZ6099,,a1a218,KLAX,KDEN,2/1/2020
EDV5377,,acddf8,KDFW,KJFK,2/1/2020
JBU2112,,a22ab9,KORD,KBOS,2/1/2020
UPS61,,a80321,PANC,KSDF,2/1/2020
AAL2609,,ac769b,KDFW,KLAS,2/1/2020
AAL2201,,a01c37,KLAX,KJFK,2/1/2020
ASA437,,a2d745,KLAX,KSEA,2/1/2020
NKS917,,ac8e1a,KDFW,KDEN,2/1/2020
AAL751,,ac791d,KDFW,KDFW,2/1/2020
ASH5725,,ad3d1f,KPHX,KDFW,2/1/2020
UAL1413,,a5aa3a,KSEA,KDEN,2/1/2020
FFT2153,,a226c5,KPHX,KLAS,2/1/2020
LOF4691,,a05a6b,KORD,KSDF,2/1/2020
PDT4772,,a7d620,KDTW,KPHL,2/1/2020
AAL2520,,ac8cf1,KDFW,KORD,2/1/2020
UAL8105,,ac15d1,KORD,KDFW,2/1/2020
UAL2128,,aacd50,KPHX,KSFO,2/1/2020
UAL407,,a3cf6d,KORD,KDEN,2/1/2020
UAL1711,,aa3ae2,KLAX,KDEN,2/1/2020
DAL1328,,a3a990,KLAX,KPDX,2/1/2020
AAL412,,ad9bc8,KPHX,KDEN,2/1/2020
NKS470,,a91349,KDFW,KFLL,2/1/2020
UAL277,,a445f2,KSEA,KORD,2/1/2020
SWA2995,,abef16,KLAX,KDEN,2/1/2020
FFT2300,,a37db9,KDFW,KPHL,2/1/2020
DAL2686,,a13386,KLAX,KJFK,2/1/2020
UAL790,,a3a084,KORD,KBOS,2/1/2020
ASA626,,a2b562,KSEA,KLAS,2/1/2020
SWA1449,,aaa28d,KPHX,KDEN,2/1/2020
ASA1480,,a21ed4,KLAX,KLAS,2/1/2020
AAL315,,ac9e26,KDTW,KDFW,2/1/2020
JBU1124,,acca19,KLAX,KJFK,2/1/2020
AAL2655,,ac892e,KDFW,KDEN,2/1/2020
SKW4024,,a247f0,KSEA,KPDX,2/1/2020
RPA3650,,a87d11,KIAH,KSDF,2/1/2020
UAL373,,a5b55f,KPHX,KDEN,2/1/2020
UAL564,,aa7e7c,KORD,KFLL,2/1/2020
DAL2984,,a05b7e,KSEA,KSFO,2/1/2020
UAL626,,a8d5a4,KORD,KPHL,2/1/2020
DAL2855,,a4463e,PANC,KSEA,2/1/2020
SWA800,,abd932,KPHX,KLAS,2/1/2020
UAL2365,,aa2ba1,KLAX,KLAS,2/1/2020
AAL478,,a1a66d,KPHX,KPHL,2/1/2020
GJS4509,,a0d5f3,KDTW,KORD,2/1/2020
UAL1884,,a98d7e,KIAH,KPDX,2/1/2020
ASH5992,,acd57e,KDFW,KSDF,2/1/2020
SWA2109,,a5ae2f,KLAX,KSJC,2/1/2020
NKS711,,a83174,KDTW,KLAS,2/1/2020
SWA1720,,abc107,KSEA,KDEN,2/1/2020
AAL1726,,a08efd,KLAX,KLAS,2/1/2020
AAL2276,,ad10ec,KIAH,KDFW,2/1/2020
