callsign,,icao24,origin,destination,firstseen
UAL2186,,a92365,KLAX,KSFO,2/4/2020
SKW3499,,a1388c,KSEA,KSEA,2/4/2020
DAL988,,a38d49,KDTW,KBOS,2/4/2020
SKW5600,,a0b6ea,KDFW,KSFO,2/4/2020
AAL238,,a03765,KLAX,KJFK,2/4/2020
UAL2049,,a885f4,KLAX,KDEN,2/4/2020
FDX3021,,a0a332,KLAX,KORD,2/4/2020
UAL2053,,a53ee2,KIAH,KBOS,2/4/2020
EDV5258,,a30d18,KDFW,KJFK,2/4/2020
NKS1858,,a87904,KIAH,KFLL,2/4/2020
SWA1723,,a31533,KPHX,KDEN,2/4/2020
AAL139,,ac7f41,KDFW,KSFO,2/4/2020
NKS484,,a8a43a,KDFW,KPHL,2/4/2020
DAL1704,,abaf1e,KDTW,KFLL,2/4/2020
ASA658,,a622bc,KSEA,KDFW,2/4/2020
AAL4,,a0428a,KLAX,KJFK,2/4/2020
AAL1399,,a18403,KPHX,KDFW,2/4/2020
UAL250,,a46ce1,KORD,KDFW,2/4/2020
SWA952,,a50064,KPHX,KLAS,2/4/2020
ASA88,,a5e29a,PANC,KSEA,2/4/2020
AAL777,,acbffd,KPHX,KLAS,2/4/2020
SKW5329,,a09a90,KLAX,KDEN,2/4/2020
UAL1790,,aa3ae2,KORD,KSFO,2/4/2020
AAL1653,,aa55ee,KLAX,KDEN,2/4/2020
ASA516,,a613e0,KSEA,KSJC,2/4/2020
DAL1296,,ad2ea9,KDTW,KPHL,2/4/2020
NKS1919,,a6ab93,KDFW,KFLL,2/4/2020
SWA1944,,a9b40d,KLAX,KLAS,2/4/2020
FFT2131,,a3414e,KDTW,KLAS,2/4/2020
AAL1148,,a15703,KDFW,KBOS,2/4/2020
DAL1190,,a44240,KPHX,KSEA,2/4/2020
UAL1424,,a4f752,KPHX,KSFO,2/4/2020
DAL1163,,a45586,KSEA,KBOS,2/4/2020
AAL1363,,ad7760,KORD,KLAS,2/4/2020
ASA1927,,ab9bb6,KLAX,KSFO,2/4/2020
ENY4137,,a234ef,KIAH,KORD,2/4/2020
UAL278,,a46d26,KSEA,KORD,2/4/2020
GJS4539,,a0ce85,KDTW,KORD,2/4/2020
AAL967,,a05776,KLAX,KORD,2/4/2020
QXE2242,,a53adc,KSEA,KPDX,2/4/2020
AAL2754,,ad1986,KORD,KDFW,2/4/2020
AAL2412,,ad8b20,KDFW,KORD,2/4/2020
CPZ5714,,a7e18a,KLAX,KLAS,2/4/2020
JBU2200,,ad2095,KLAX,KFLL,2/4/2020
DAL1550,,a022c6,KSEA,KSJC,2/4/2020
UAL523,,ac4e85,KPHX,KORD,2/4/2020
DAL879,,a403b3,KSEA,KORD,2/4/2020
ASA1688,,a82e63,KSEA,KLAS,2/4/2020
UAL519,,a8fc72,KORD,KLAS,2/4/2020
JBU488,,ad27f3,KLAX,KBOS,2/4/2020
ASA39,,a29cbf,KORD,KSEA,2/4/2020
ASA465,,a61797,KLAX,KSEA,2/4/2020
ASA423,,a81f87,KPHX,KSEA,2/4/2020
AAL658,,acab11,KLAX,KPHL,2/4/2020
FFT748,,a3b05d,KPHX,KDEN,2/4/2020
AAL671,,ab2ad8,KDFW,KLAS,2/4/2020
SWA1720,,abd627,KPHX,KSEA,2/4/2020
ASA1486,,a2deb3,KLAX,KLAS,2/4/2020
SWA1620,,acfdf4,KLAX,KSJC,2/4/2020
DAL2688,,ac2d09,KPHX,KJFK,2/4/2020
DAL3078,,a3fffc,KORD,KSEA,2/4/2020
AAL1027,,add2b6,KDFW,KORD,2/4/2020
DAL129,,ac76f2,KLAX,KSEA,2/4/2020
ASA662,,a3649a,KSEA,KSJC,2/4/2020
ASA90,,a79768,PANC,KSEA,2/4/2020
UPS2020,,a0cbff,KDFW,KPHL,2/4/2020
DAL182,,a96171,KSEA,KJFK,2/4/2020
AAL615,,a0d72b,KPHX,KORD,2/4/2020
SWA2221,,a196c8,KPHX,KPDX,2/4/2020
AAL1644,,ade18c,KLAX,KDFW,2/4/2020
SWA993,,ac8b2e,KLAX,KLAS,2/4/2020
ASA642,,a28a2c,KSEA,KDFW,2/4/2020
PDT4921,,a7c766,KDTW,KPHL,2/4/2020
AAL274,,a03fff,KLAX,KJFK,2/4/2020
AAL592,,a3b4d6,KDFW,KLAS,2/4/2020
FFT404,,a3ccb7,KLAX,KDEN,2/4/2020
ASA1750,,a68e81,KSEA,KSFO,2/4/2020
AAL460,,a1978f,KPHX,KPHL,2/4/2020
AAL1555,,a403df,KLAX,KLAS,2/4/2020
UAL578,,a8d4ad,KORD,KBOS,2/4/2020
DAL2760,,a441c9,KSEA,KDEN,2/4/2020
AAL1743,,acd296,KPHX,KDEN,2/4/2020
UAL447,,a52c4f,KLAX,KSFO,2/4/2020
AAL231,,a6e131,KLAX,KDFW,2/4/2020
SWA1848,,aca3d1,KPHX,KDEN,2/4/2020
JBU1712,,a38cd2,KORD,KBOS,2/4/2020
UAL254,,a83781,KPHX,KDEN,2/4/2020
JBU598,,add376,KSEA,KBOS,2/4/2020
SWA2085,,a20a81,KPHX,KLAS,2/4/2020
SKW5443,,ac9113,KIAH,KDEN,2/4/2020
AAL497,,a9fb4e,KLAX,KSFO,2/4/2020
UAL606,,a43eed,KIAH,KFLL,2/4/2020
DAL167,,a4b827,KSEA,KSEA,2/4/2020
UAL1899,,a8fc73,KIAH,KORD,2/4/2020
ASA655,,a76fe9,KDFW,KPDX,2/4/2020
CPZ5680,,a80909,KLAX,KSJC,2/4/2020
AAL2434,,a78a52,KPHX,KJFK,2/4/2020
UAL423,,aba30b,KIAH,KLAS,2/4/2020
UAL269,,a8d5a0,KLAX,KORD,2/4/2020
AAL2825,,a71efa,KORD,KPHL,2/4/2020
RPA6142,,ac1951,KORD,KBOS,2/4/2020
AAL2683,,acb285,KDFW,KSFO,2/4/2020
DAL2787,,a12c18,KLAX,KJFK,2/4/2020
ASH6123,,ac047d,KIAH,KSDF,2/4/2020
SWA1753,,a5958c,KLAX,KSFO,2/4/2020
SKW3570,,a320f9,KSEA,KPDX,2/4/2020
CPZ6054,,a1b4ab,KLAX,KSEA,2/4/2020
AAL1796,,a4acae,KPHX,KDFW,2/4/2020
DAL2772,,a071c8,KDTW,KDFW,2/4/2020
UAL504,,a14b1a,KDFW,KORD,2/4/2020
ASA1630,,a2d38e,KSEA,KLAS,2/4/2020
AAL2639,,ad4105,KORD,KSFO,2/4/2020
AAL2429,,a08a1a,KORD,KDFW,2/4/2020
DAL1135,,a06a5a,KDTW,KJFK,2/4/2020
AAL2223,,adc17b,KDFW,KORD,2/4/2020
AWI3926,,a5b768,KORD,KSDF,2/4/2020
UAL1973,,a83787,KIAH,KSFO,2/4/2020
QXE2873,,a53725,KSEA,KPDX,2/4/2020
DAL1092,,ac7e60,KDTW,KSEA,2/4/2020
SWA1767,,aa7734,KPHX,KSJC,2/4/2020
AMX660,,0d09a9,KLAX,KORD,2/4/2020
DAL1327,,a38d36,KLAX,KSFO,2/4/2020
UAL738,,a94b2b,KSEA,KDEN,2/4/2020
UAL664,,a504d0,KORD,KPHL,2/4/2020
AAL706,,ace5bc,KDFW,KDEN,2/4/2020
UAL1821,,a53774,KIAH,KDFW,2/4/2020
UPS2978,,a32890,KDFW,KPDX,2/4/2020
UAL314,,a92367,KLAX,KDEN,2/4/2020
DAL1145,,a3b87f,KDTW,KBOS,2/4/2020
AAL1079,,a771af,KSEA,KDFW,2/4/2020
SWA1772,,a533fb,KPHX,KSFO,2/4/2020
AAL789,,aa4e80,KIAH,KDFW,2/4/2020
DAL590,,a437da,KDTW,KLAS,2/4/2020
DAL1694,,a47597,KSEA,KLAS,2/4/2020
JBU688,,adabfe,KLAX,KBOS,2/4/2020
EDV4760,,a6ce58,KORD,KJFK,2/4/2020
AAL2321,,ab2729,KORD,KBOS,2/4/2020
UAL1942,,a1c2b3,KLAX,KDEN,2/4/2020
RPA6127,,abfb99,KDTW,KSDF,2/4/2020
ASA80,,a5a11a,PANC,KSEA,2/4/2020
AAL2559,,ad1fc8,KDTW,KDFW,2/4/2020
AAL2394,,add66d,KDFW,KSEA,2/4/2020
JBU524,,acf906,KLAX,KJFK,2/4/2020
AAL1203,,ac7a52,KDFW,KLAS,2/4/2020
DAL1508,,a3e9c5,KLAX,KDFW,2/4/2020
SKW5456,,a06435,KDFW,KSFO,2/4/2020
FFT243,,a98b76,KIAH,KDEN,2/4/2020
ASA1783,,a69d5d,KLAX,KSEA,2/4/2020
AAL15,,a06646,KLAX,KORD,2/4/2020
ASA38,,a7197d,KSEA,KFLL,2/4/2020
ASA34,,a300a9,KSEA,KORD,2/4/2020
ASA1929,,a21ed4,KLAX,KSFO,2/4/2020
UPS2954,,a33eda,KDFW,KSJC,2/4/2020
SKW5957,,a0a457,KSEA,KSFO,2/4/2020
AAL1953,,aced23,KLAX,KDFW,2/4/2020
NKS736,,a65170,KLAX,KORD,2/4/2020
JSX409,,a26ea6,KPHX,KLAS,2/4/2020
SKW3479,,a149c1,KLAX,KSJC,2/4/2020
SWA2202,,abef79,KSEA,KSJC,2/4/2020
AAL470,,a8aa87,KPHX,KSJC,2/4/2020
DAL2828,,ac4cd4,KDTW,KORD,2/4/2020
AAL556,,a19b48,KPHX,KDFW,2/4/2020
DAL1364,,a37aa3,KLAX,KPDX,2/4/2020
AAL2608,,a33327,KORD,KPHL,2/4/2020
SWA1638,,a620f5,KPHX,KLAS,2/4/2020
SKW3630,,a2644a,KLAX,KLAS,2/4/2020
ENY4086,,ac90a0,KORD,KSDF,2/4/2020
ASA687,,a360e3,KORD,KPDX,2/4/2020
AAL2579,,a17170,KDFW,KBOS,2/4/2020
NKS245,,a90f92,KORD,KLAS,2/4/2020
UAL376,,a8d5a4,KPHX,KDEN,2/4/2020
RPA3499,,a9bc12,KORD,KSDF,2/4/2020
AAL32,,a01c37,KLAX,KJFK,2/4/2020
UAL420,,a41e74,KLAX,KSFO,2/4/2020
AAL883,,ac96be,KPHX,KORD,2/4/2020
ASA581,,a2a686,KPHX,KSEA,2/4/2020
UAL816,,aacd96,KSEA,KSFO,2/4/2020
UAL1897,,a1239d,KLAX,KORD,2/4/2020
UAL407,,aa3ae9,KORD,KDEN,2/4/2020
AAL2320,,a728c1,KPHX,KBOS,2/4/2020
FFT9202,,a339e0,KORD,KDEN,2/4/2020
AAL2346,,ac4dfb,KORD,KDFW,2/4/2020
JBU464,,adc9b6,KSEA,KJFK,2/4/2020
UAL2170,,a92361,KORD,KSEA,2/4/2020
SKW5475,,aaa86a,KLAX,KSEA,2/4/2020
UAL1073,,aa7427,KDTW,KDEN,2/4/2020
ASA1674,,a331f6,KSEA,KDEN,2/4/2020
DAL1753,,a03b6d,KSEA,KSFO,2/4/2020
AAL694,,ad1d3d,KDFW,KPHL,2/4/2020
ASA447,,a2dafc,KLAX,KSEA,2/4/2020
SWA4513,,aa76ef,KLAX,KDEN,2/4/2020
BTQ774,,a8ddb4,KPHX,KDEN,2/4/2020
CPZ6031,,a19aaa,KLAX,KSJC,2/4/2020
AAL1045,,ad34b4,KSEA,KORD,2/4/2020
DAL1830,,aae5f7,KSEA,KJFK,2/4/2020
AAL433,,a1735d,KDFW,KJFK,2/4/2020
DAL653,,a40d7a,KLAX,KDEN,2/4/2020
AAL2418,,ac8577,KDFW,KORD,2/4/2020
DAL2262,,a13386,KLAX,KJFK,2/4/2020
SKW3901,,a11a81,KDTW,KPHL,2/4/2020
KAL261,,71be39,PANC,KORD,2/4/2020
ASA487,,a84abd,KLAX,KPDX,2/4/2020
AAL2543,,a10931,KLAX,KDFW,2/4/2020
UAL670,,a81001,KSEA,KORD,2/4/2020
SWA2177,,a4e146,KLAX,KSJC,2/4/2020
DAL1262,,a46304,KPHX,KSEA,2/4/2020
ASA1426,,acddbe,KSEA,KJFK,2/4/2020
DAL1553,,a40d8d,KDTW,KORD,2/4/2020
UAL1700,,a445ef,KIAH,KSFO,2/4/2020
SWA947,,a58a67,KPHX,KSJC,2/4/2020
UAL825,,a16adc,KIAH,KDEN,2/4/2020
ASA1923,,a83f98,KLAX,KSFO,2/4/2020
ASA688,,a2ce05,KSEA,KLAS,2/4/2020
JBU2800,,ad7ab8,KLAX,KFLL,2/4/2020
AAL1359,,accb22,KORD,KPHL,2/4/2020
CPZ6045,,a1933c,KLAX,KSFO,2/4/2020
UAL1493,,a53774,KDFW,KDEN,2/4/2020
NKS2680,,a891a7,KIAH,KFLL,2/4/2020
UAL2403,,ac523c,KIAH,KSEA,2/4/2020
AAL2655,,a0a2bd,KDFW,KDEN,2/4/2020
AAL2755,,a0f1bb,KSEA,KDFW,2/4/2020
ASA104,,a81dbc,PANC,KSEA,2/4/2020
ASQ4019,,a80e4e,KDTW,KORD,2/4/2020
AAL2501,,ad8b20,KORD,KDFW,2/4/2020
SKW2992,,a959df,KORD,KSDF,2/4/2020
UAL2200,,a61d00,KIAH,KORD,2/4/2020
EDV4813,,acef2d,KDTW,KJFK,2/4/2020
JBU1932,,a752ea,KIAH,KBOS,2/4/2020
DAL1082,,a39710,KDTW,KBOS,2/4/2020
AAL2735,,ac8a66,KDFW,KSJC,2/4/2020
AAL2063,,a336df,KPHX,KLAS,2/4/2020
AAL1463,,ab5c12,KDFW,KORD,2/4/2020
SWA1762,,a728eb,KLAX,KSFO,2/4/2020
AAL1175,,a0f91d,KDFW,KSFO,2/4/2020
DAL2208,,ac01d3,KDTW,KFLL,2/4/2020
UAL2000,,aa56f8,KPHX,KORD,2/4/2020
FFT2149,,a41bb5,KPHX,KLAS,2/4/2020
SWA140,,a2d3b3,KLAX,KLAS,2/4/2020
AAL382,,a1057a,KLAX,KBOS,2/4/2020
CPZ5720,,a8019b,KLAX,KSJC,2/4/2020
AAL787,,a0fea6,KLAX,KORD,2/4/2020
AAL2334,,aafbdf,KDFW,KPHL,2/4/2020
AAL2798,,ad0d35,KORD,KSFO,2/4/2020
AAL1156,,adc65e,KORD,KSJC,2/4/2020
AAL1576,,ac18fe,KDFW,KFLL,2/4/2020
SWA1426,,acf686,KLAX,KPDX,2/4/2020
DAL990,,a4a484,KLAX,KSEA,2/4/2020
UAL2236,,aa568f,KPHX,KSFO,2/4/2020
SKW5628,,ad6539,KIAH,KORD,2/4/2020
DAL2984,,a033ff,KSEA,KSFO,2/4/2020
UAL2169,,ac1988,KORD,KDFW,2/4/2020
AAL2830,,ad63a1,KIAH,KDFW,2/4/2020
CPZ6052,,a1d873,KLAX,KSEA,2/4/2020
AAL1251,,ad0725,KORD,KBOS,2/4/2020
ASA633,,a30bce,KPHX,KSEA,2/4/2020
UAL375,,a0acf8,KIAH,KORD,2/4/2020
DAL2793,,a44240,KSEA,KLAS,2/4/2020
UPS63,,a7f7fc,PANC,KSDF,2/4/2020
FFT2162,,ad18da,KLAX,KLAS,2/4/2020
NKS207,,a94236,KDFW,KLAS,2/4/2020
AAL147,,adddd5,KLAX,KDFW,2/4/2020
AAL758,,a704f9,KPHX,KDFW,2/4/2020
ASA1203,,ab6cc9,KORD,KSFO,2/4/2020
DAL1701,,a38211,KSEA,KSJC,2/4/2020
SWA176,,aa7315,KPHX,KDEN,2/4/2020
ASA437,,a2d745,KLAX,KSEA,2/4/2020
AAL2918,,ac9ff2,KLAX,KPHL,2/4/2020
ENY4042,,a7f27a,KDTW,KORD,2/4/2020
UAL713,,a46ce1,KDFW,KORD,2/4/2020
SKW2953,,aa80eb,KDTW,KORD,2/4/2020
ASA651,,a622bc,KDFW,KSEA,2/4/2020
JBU1336,,a182f6,KDTW,KBOS,2/4/2020
AAL891,,acbffd,KPHX,KORD,2/4/2020
UAL460,,a582bb,KLAX,KSFO,2/4/2020
NKS845,,a8faa6,KDTW,KFLL,2/4/2020
ASH6171,,abb5a5,KIAH,KDFW,2/4/2020
UAL2272,,a94b0b,KORD,KDEN,2/4/2020
SWA1363,,a9a58d,KSEA,KSJC,2/4/2020
AAL2763,,a12625,KPHX,KBOS,2/4/2020
LOF4691,,a0a98a,KORD,KSDF,2/4/2020
UAL2128,,a2b0cd,KPHX,KSFO,2/5/2020
AAL1388,,a1515b,KPHX,KJFK,2/5/2020
JBU2112,,a21f94,KORD,KBOS,2/5/2020
UAL2205,,ac59aa,KORD,KDFW,2/5/2020
JSX411,,a27fdb,KPHX,KLAS,2/5/2020
SWA1720,,abd627,KSEA,KDEN,2/5/2020
AAL2201,,a023a5,KLAX,KJFK,2/5/2020
DAL1328,,a3ad47,KLAX,KPDX,2/5/2020
UAL1413,,a5ea5c,KSEA,KDEN,2/5/2020
KAL277,,71c285,PANC,KDFW,2/5/2020
NKS917,,acca85,KDFW,KDEN,2/5/2020
UAL790,,a14ad4,KORD,KBOS,2/5/2020
UPS9608,,a09ab9,KIAH,KDFW,2/5/2020
NKS470,,a8f6ef,KDFW,KFLL,2/5/2020
SWA1928,,aa7757,KLAX,KDEN,2/5/2020
JBU1124,,adde95,KLAX,KJFK,2/5/2020
UAL626,,aa7e99,KORD,KPHL,2/5/2020
UAL1711,,a747cb,KLAX,KDEN,2/5/2020
UAL437,,ab2169,KIAH,KDEN,2/5/2020
UAL2294,,a513ac,KSEA,KSFO,2/5/2020
SWA800,,abd4e7,KPHX,KLAS,2/5/2020
ASA468,,a5f3cf,KLAX,KJFK,2/5/2020
ASA626,,a1c868,KSEA,KLAS,2/5/2020
ASA1676,,ab7080,KSEA,KDEN,2/5/2020
RPA3650,,ada699,KIAH,KSDF,2/5/2020
AAL478,,ac893a,KPHX,KPHL,2/5/2020
SWA1449,,a200ba,KPHX,KDEN,2/5/2020
ASA1480,,a744b3,KLAX,KLAS,2/5/2020
UAL2119,,a0acb6,KIAH,KDFW,2/5/2020
SWA2109,,a9fb9d,KLAX,KSJC,2/5/2020
AAL2733,,aae597,KLAX,KDFW,2/5/2020
NKS425,,a8aba8,KORD,KFLL,2/5/2020
AAL1726,,a06010,KLAX,KLAS,2/5/2020
DAL2686,,a1863b,KLAX,KJFK,2/5/2020
UAL373,,a50887,KPHX,KDEN,2/5/2020
UAL1578,,a3ef7e,KIAH,KBOS,2/5/2020
AAL1172,,ac5920,KORD,KBOS,2/5/2020
ASH5992,,acdcec,KDFW,KSDF,2/5/2020
UAL1884,,a9b4de,KIAH,KPDX,2/5/2020
UAL2365,,a445ee,KLAX,KLAS,2/5/2020
ASA84,,a5320b,PANC,KSEA,2/5/2020
UAL480,,a9dc5e,KIAH,KFLL,2/5/2020
ASA1799,,a2228b,KLAX,KPDX,2/5/2020
QXE2903,,a88e2e,KSEA,KPDX,2/5/2020
DAL2757,,a44031,KLAX,KSFO,2/5/2020
UAL1776,,ab050f,KIAH,KPHL,2/5/2020
ASA667,,a28a2c,KDFW,KSEA,2/5/2020
ASA1949,,a70aa1,KLAX,KSFO,2/5/2020
GJS4509,,a0ce85,KDTW,KORD,2/5/2020
AAL536,,a89086,KPHX,KSJC,2/5/2020
JBU1106,,a24aca,KORD,KJFK,2/5/2020
AAL42,,a101c3,KLAX,KPHL,2/5/2020
DAL2527,,a3a5d9,KSEA,KDEN,2/5/2020
AAL2300,,adc17b,KORD,KDFW,2/5/2020
AAL1744,,a0bcb2,KPHX,KDFW,2/5/2020
CPA2082,,780a28,PANC,KDFW,2/5/2020
QXE2170,,a8557a,KLAX,KSJC,2/5/2020
NKS711,,a9335a,KDTW,KLAS,2/5/2020
EDV5223,,a36fa4,KORD,KJFK,2/5/2020
DAL2731,,a45b96,KLAX,KSEA,2/5/2020
UAL1044,,a0acbb,KIAH,KLAS,2/5/2020
DAL1544,,a3f4d7,KORD,KSEA,2/5/2020
AAL2276,,acc6d1,KIAH,KDFW,2/5/2020
AAL184,,a00d5b,KLAX,KJFK,2/5/2020
AAL2235,,ac82f8,KDFW,KDEN,2/5/2020
UAL632,,a61949,KLAX,KSFO,2/5/2020
JBU714,,aa4d77,KDFW,KBOS,2/5/2020
SWA557,,aa8469,KPHX,KSJC,2/5/2020
AAL1456,,acc1ee,KDFW,KBOS,2/5/2020
CPZ6026,,a1a218,KLAX,KSJC,2/5/2020
AAL2433,,acea99,KDFW,KPDX,2/5/2020
DAL1832,,a441fb,KSEA,KSFO,2/5/2020
AAL844,,a9d44c,KORD,KPHL,2/5/2020
ASA445,,a84706,KLAX,KSEA,2/5/2020
UAL2264,,a94b29,KIAH,KSFO,2/5/2020
AAL2520,,a08a1a,KDFW,KORD,2/5/2020
SWA1721,,aceb61,KLAX,KLAS,2/5/2020
AAL1430,,a0ebab,KDFW,KSFO,2/5/2020
NKS199,,a89ccc,KIAH,KLAS,2/5/2020
SWA1755,,a5958c,KLAX,KSFO,2/5/2020
DAL1862,,a05410,KDTW,KDFW,2/5/2020
DAL2682,,abfa65,KDTW,KSEA,2/5/2020
AAL686,,acc3b4,KPHX,KSFO,2/5/2020
DAL1554,,a37d8d,KDTW,KLAS,2/5/2020
DAL2885,,a3dfeb,KDTW,KORD,2/5/2020
FFT1428,,a33d97,KPHX,KORD,2/5/2020
ASA649,,a2919a,KPHX,KSEA,2/5/2020
DAL2855,,a45072,PANC,KSEA,2/5/2020
RPA5899,,abfb99,KDTW,KSDF,2/5/2020
SWA5769,,aa030b,KPHX,KDEN,2/5/2020
SKW3059,,a968bb,KDTW,KORD,2/5/2020
DAL1237,,a48a8f,KDTW,KBOS,2/5/2020
FFT265,,ad2f24,KDFW,KDEN,2/5/2020
QXE2175,,a86e1d,KSEA,KPDX,2/5/2020
AAL1933,,a1804c,KPHX,KORD,2/5/2020
AAL714,,a19b48,KDFW,KPHL,2/5/2020
UAL2155,,a43e7f,KIAH,KORD,2/5/2020
ASA1754,,a73220,KSEA,KSFO,2/5/2020
QXE2499,,a53e93,KSEA,KPDX,2/5/2020
SKW5483,,a19ecf,KDFW,KSFO,2/5/2020
DAL2519,,a8c724,KDTW,KFLL,2/5/2020
EDV4899,,ace7bf,KDTW,KJFK,2/5/2020
AAL364,,adbef0,KDFW,KSJC,2/5/2020
UAL1883,,a0fbfa,KORD,KSJC,2/5/2020
SKW4011,,a26801,KSEA,KPDX,2/5/2020
AAL1241,,aced23,KDFW,KSEA,2/5/2020
SWA1926,,aa3518,KLAX,KLAS,2/5/2020
SWA1262,,aa9793,KPHX,KDEN,2/5/2020
DAL8845,,a8bfb6,KLAX,KDEN,2/5/2020
DAL1821,,acb10a,KDTW,KDEN,2/5/2020
DAL2803,,a3f133,KLAX,KSFO,2/5/2020
AAL248,,a11b00,KLAX,KLAS,2/5/2020
UAL782,,aa5691,KORD,KDFW,2/5/2020
AAL354,,a0628f,KLAX,KDFW,2/5/2020
UAL2076,,a583f5,KIAH,KDEN,2/5/2020
SWA1387,,a55055,KPHX,KLAS,2/5/2020
AAL934,,a0ade2,KDFW,KFLL,2/5/2020
DAL890,,a3fffc,KSEA,KORD,2/5/2020
UAL518,,a445ec,KORD,KPDX,2/5/2020
DAL1678,,a452c4,KLAX,KDFW,2/5/2020
RPA5912,,a19dff,KORD,KBOS,2/5/2020
AAL1095,,adb014,KLAX,KSFO,2/5/2020
SKW4024,,a23ccb,KSEA,KPDX,2/5/2020
UAL2100,,a49441,KIAH,KFLL,2/5/2020
UAL599,,a76f6d,KORD,KLAS,2/5/2020
SKW3932,,a2af91,KSEA,KSJC,2/5/2020
ASH6143,,ac2bd4,KIAH,KDFW,2/5/2020
UPS601,,a4281d,KORD,KSDF,2/5/2020
UAL2131,,a85f29,KIAH,KORD,2/5/2020
NKS1168,,acd1f3,KPHX,KORD,2/5/2020
UAL1765,,a37fa1,KIAH,KLAS,2/5/2020
ASA699,,a3133c,KIAH,KSEA,2/5/2020
UAL1844,,a837a6,KIAH,KSFO,2/5/2020
NKS500,,acb599,KIAH,KORD,2/5/2020
UAL1742,,a8d489,KORD,KSFO,2/5/2020
SWA1979,,a4e4fd,KSEA,KLAS,2/5/2020
UAL2199,,ac1988,KDFW,KORD,2/5/2020
AAL41,,ad4afe,KORD,KDFW,2/5/2020
UAL2129,,a4fd62,KPHX,KSFO,2/5/2020
ASA1756,,a83988,KSEA,KSFO,2/5/2020
UPS611,,a4dd5e,KORD,KPHL,2/5/2020
SWA1493,,aa9723,KLAX,KLAS,2/5/2020
SWA2207,,a4ec6b,KPHX,KLAS,2/5/2020
UAL481,,a50ff5,KLAX,KSFO,2/5/2020
UPS855,,a0d724,KPHX,KSDF,2/5/2020
ASA1636,,a2dafc,KSEA,KLAS,2/5/2020
AAL2776,,a0b199,KLAX,KORD,2/5/2020
CPZ6015,,a1afc8,KLAX,KSJC,2/5/2020
DAL1562,,a44591,KPHX,KSEA,2/5/2020
SKW3415,,a1311e,KLAX,KSJC,2/5/2020
UAL2048,,a46d70,KLAX,KLAS,2/5/2020
AAL2785,,ad9003,KLAX,KLAS,2/5/2020
ASH5939,,ad4844,KDFW,KSDF,2/5/2020
SWA2155,,a20a81,KLAX,KSJC,2/5/2020
DAL1174,,a3a503,KLAX,KLAS,2/5/2020
CPZ5705,,a7e541,KLAX,KSJC,2/5/2020
ASH5949,,a24753,KDFW,KDFW,2/5/2020
AAL1387,,ad7634,KORD,KDEN,2/5/2020
LOF4667,,ab8800,KORD,KSDF,2/5/2020
ASA136,,a61b4e,PANC,KSEA,2/5/2020
LOF4792,,ab6081,KORD,KSDF,2/5/2020
ASA1943,,a657b9,KLAX,KSFO,2/5/2020
AAL315,,ace5bc,KDFW,KSFO,2/5/2020
DAL1729,,a44db3,KLAX,KLAS,2/5/2020
UAL214,,a4e108,KSEA,KSFO,2/5/2020
AAL1294,,acc76b,KDFW,KORD,2/5/2020
UAL564,,a288e4,KORD,KFLL,2/5/2020
AAL403,,a708b0,KPHX,KORD,2/5/2020
AAL2315,,a657bf,KPHX,KDEN,2/5/2020
NKS868,,a8af5f,KLAX,KDFW,2/5/2020
UAL659,,a504d0,KORD,KPHL,2/5/2020
DAL1836,,abfe1c,KLAX,KSEA,2/5/2020
ASA1791,,a855e2,KLAX,KPDX,2/5/2020
UPS893,,a59b6b,KPHX,KDFW,2/5/2020
SWA2130,,ac8b2e,KPHX,KLAS,2/5/2020
UPS1481,,a30d94,KDTW,KSDF,2/5/2020
UAL2074,,a51763,KSEA,KSFO,2/5/2020
AAL2093,,a704f9,KDFW,KPHL,2/5/2020
UPS903,,a39b56,KLAX,KSDF,2/5/2020
CPZ5695,,a83088,KSEA,KSJC,2/5/2020
AAL633,,a19eff,KPHX,KDFW,2/5/2020
SWA1764,,a728eb,KLAX,KSFO,2/5/2020
DAL2985,,aa7fa1,KSEA,KDEN,2/5/2020
NKS313,,a8d327,KDTW,KDFW,2/5/2020
UAL1242,,ab2520,KIAH,KDFW,2/5/2020
FFT1419,,a9a419,KORD,KLAS,2/5/2020
UPS857,,a0a480,KPHX,KSDF,2/5/2020
CPZ6092,,a1cd4e,KLAX,KDEN,2/5/2020
DAL2201,,a42a5c,KDTW,KPHL,2/5/2020
UPS765,,a26be1,KDFW,KSDF,2/5/2020
DAL2226,,ab52a2,KLAX,KSFO,2/5/2020
UPS1483,,a53eef,KDTW,KPHL,2/5/2020
FFT2139,,a9ab87,KIAH,KLAS,2/5/2020
AAL2484,,ac72e4,KLAX,KDFW,2/5/2020
ASA1994,,a5bb1b,KSEA,KSJC,2/5/2020
SWA1885,,abc7c6,KLAX,KDEN,2/5/2020
UAL283,,a43ee5,KLAX,KSFO,2/5/2020
AAL2106,,a77f2d,KPHX,KLAS,2/5/2020
ASA1348,,a4ca6a,KSEA,KSJC,2/5/2020
AAL712,,a95a1c,KLAX,KSEA,2/5/2020
ASA1092,,ab81b5,KSEA,KSFO,2/5/2020
ASA349,,ace175,KLAX,KSEA,2/5/2020
DAL1010,,a37aa3,KLAX,KPDX,2/5/2020
ASA1801,,a335ad,KLAX,KPDX,2/5/2020
SWA188,,a2f77b,KLAX,KSJC,2/5/2020
SKW2991,,aa4a90,KORD,KSDF,2/5/2020
